Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,164.51,168.4,164.4,168.21,3126302.0,168.21,168.21,50.0,0.0,0.0,0.0,173.61
2022-01-04,169.72,174.05,169.6,173.61,4799729.0,170.91,170.91,100.0,0.43,0.09,0.05,171.76
2022-01-05,174.71,176.31,171.5,171.76,4491937.0,171.19,171.19,74.48,0.62,0.19,0.07,172.9
2022-01-06,172.54,173.69,169.75,172.9,2649471.0,171.62,171.62,77.95,0.84,0.32,0.0,174.38
2022-01-07,172.49,175.36,171.86,174.38,3043017.0,172.17,172.17,81.26,1.13,0.48,0.0,173.74
2022-01-10,176.21,176.21,170.5,173.74,4269577.0,173.28,172.43,76.31,1.29,0.65,0.0,175.38
2022-01-11,174.54,175.72,172.49,175.38,2756586.0,173.63,172.85,79.51,1.54,0.82,0.0,174.47
2022-01-12,176.23,176.82,174.17,174.47,3224454.0,174.17,173.06,73.97,1.64,0.99,0.0,173.29
2022-01-13,174.92,176.38,172.85,173.29,3808846.0,174.25,173.08,67.84,1.6,1.11,0.0,168.4
2022-01-14,168.71,168.71,164.71,168.4,6508504.0,173.06,172.61,50.5,1.17,1.12,0.0,166.17
2022-01-18,167.91,168.94,164.84,166.17,4111163.0,171.54,172.03,45.22,0.63,1.02,0.0,161.39
2022-01-19,166.73,166.73,161.17,161.39,3547440.0,168.74,171.14,36.95,-0.17,0.78,0.0,160.92
2022-01-20,161.12,164.57,159.46,160.92,4205598.0,166.03,170.36,36.3,-0.84,0.46,0.0,158.74
2022-01-21,159.95,161.88,157.68,158.74,3779077.0,163.12,169.53,33.55,-1.52,0.06,0.0,158.93
2022-01-24,155.82,159.45,152.85,158.93,5406501.0,161.23,168.82,33.99,-2.03,-0.35,0.0,173.11
2022-01-25,166.14,174.47,159.66,173.11,13320820.0,162.62,169.09,49.34,-1.27,-0.54,0.0,175.32
2022-01-26,176.95,179.22,173.03,175.32,8257282.0,165.4,169.45,54.67,-0.49,-0.53,0.0,171.9
2022-01-27,176.7,178.2,170.63,171.9,3651426.0,167.6,169.59,48.76,-0.14,-0.45,0.0,177.06
2022-01-28,171.76,177.21,169.77,177.06,4271532.0,171.26,169.98,53.04,0.55,-0.25,0.0,179.82
2022-01-31,175.91,180.13,175.22,179.82,5524258.0,175.44,170.48,56.58,1.3,0.06,0.0,183.54
2022-02-01,179.92,184.04,179.0,183.54,3471202.0,177.53,171.24,58.45,2.17,0.48,0.0,184.16
2022-02-02,182.51,184.58,181.64,184.16,2841396.0,179.3,171.77,60.1,2.87,0.96,0.0,184.04
2022-02-03,184.8,185.8,182.32,184.04,3381027.0,181.72,172.38,61.45,3.39,1.45,0.0,185.85
2022-02-04,184.91,188.68,184.18,185.85,4075775.0,183.48,173.03,69.9,3.89,1.93,0.0,187.87
2022-02-07,185.63,188.91,184.75,187.87,3260818.0,185.09,173.7,74.86,4.41,2.43,0.0,194.0
2022-02-08,188.08,194.53,187.61,194.0,5133918.0,187.18,174.72,86.24,5.25,2.99,0.0,196.4
2022-02-09,194.3,198.72,194.3,196.4,4614173.0,189.63,175.77,87.81,6.04,3.6,0.0,195.51
2022-02-10,196.36,198.23,194.61,195.51,4511139.0,191.93,176.82,90.29,6.52,4.19,0.0,191.81
2022-02-11,195.43,197.2,190.45,191.81,4834921.0,193.12,177.75,83.46,6.52,4.65,0.0,192.35
2022-02-14,192.26,194.15,190.92,192.35,3841257.0,194.01,178.94,77.1,6.5,5.02,0.0,197.98
2022-02-15,194.65,198.36,194.18,197.98,4135150.0,194.81,180.54,79.11,6.85,5.39,0.0,198.38
2022-02-16,197.5,199.55,197.24,198.38,4122642.0,195.21,182.38,86.88,7.08,5.73,0.0,195.71
2022-02-17,195.63,197.38,194.27,195.71,3051685.0,195.25,184.12,77.91,6.97,5.98,0.0,194.88
2022-02-18,194.92,197.75,194.2,194.88,2806269.0,195.86,185.93,73.92,6.74,6.13,0.0,192.44
2022-02-22,195.18,196.15,191.75,192.44,3361897.0,195.88,187.61,64.74,6.28,6.16,0.0,188.95
2022-02-23,194.35,194.45,188.55,188.95,3562094.0,194.07,188.4,57.24,5.58,6.04,0.0,188.35
2022-02-24,180.47,188.5,179.05,188.35,5886604.0,192.07,189.05,56.42,4.91,5.82,0.0,193.71
