Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,161.69,162.94,159.88,162.9,9317892.0,162.9,162.9,50.0,0.0,0.0,0.04,163.47
2022-01-04,162.29,164.39,162.18,163.47,9253754.0,163.18,163.18,100.0,0.05,0.01,0.75,164.21
2022-01-05,163.44,165.32,163.4,164.21,9330245.0,163.53,163.53,100.0,0.14,0.04,0.77,162.83
2022-01-06,164.34,165.2,162.61,162.83,7555999.0,163.35,163.35,48.7,0.1,0.05,0.9,162.74
2022-01-07,163.13,163.53,161.95,162.74,6098455.0,163.23,163.23,47.12,0.06,0.05,0.33,160.52
2022-01-10,162.51,163.12,160.17,160.52,8054984.0,162.75,162.78,26.2,-0.14,0.01,0.57,158.66
2022-01-11,160.22,160.22,156.91,158.66,11085911.0,161.79,162.19,19.1,-0.45,-0.08,0.26,159.01
2022-01-12,158.26,159.36,157.83,159.01,7126650.0,160.75,161.79,23.02,-0.66,-0.2,0.19,158.29
2022-01-13,159.31,159.45,157.78,158.29,6551083.0,159.84,161.4,20.93,-0.88,-0.33,0.22,159.81
2022-01-14,158.07,160.49,157.56,159.81,10708197.0,159.26,161.24,33.65,-0.91,-0.45,0.01,156.73
2022-01-18,158.53,158.53,156.04,156.73,10934298.0,158.5,160.83,25.38,-1.18,-0.59,0.0,162.0
2022-01-19,157.61,164.19,156.97,162.0,13959794.0,159.17,160.93,47.47,-0.95,-0.67,0.44,162.0
2022-01-20,160.12,164.33,160.12,162.0,10799065.0,159.77,161.01,47.47,-0.76,-0.68,0.31,162.62
2022-01-21,163.0,165.35,162.1,162.62,10900398.0,160.63,161.13,49.24,-0.55,-0.66,0.58,161.3
2022-01-24,163.43,164.12,158.72,161.3,14846686.0,160.93,161.14,45.95,-0.49,-0.62,0.18,159.54
2022-01-25,160.45,161.3,157.88,159.54,9369589.0,161.49,161.04,40.61,-0.58,-0.62,0.15,158.15
2022-01-26,157.34,159.57,156.38,158.15,10707105.0,160.72,160.87,35.96,-0.75,-0.64,-0.61,159.13
2022-01-27,158.73,161.34,158.58,159.13,9084347.0,160.15,160.77,41.27,-0.8,-0.67,0.0,160.5
2022-01-28,158.61,160.95,157.32,160.5,9494403.0,159.72,160.76,45.01,-0.72,-0.68,0.39,160.45
2022-01-31,159.35,160.65,158.87,160.45,8950094.0,159.55,160.74,49.83,-0.65,-0.68,0.37,159.74
2022-02-01,160.79,161.3,157.73,159.74,6284069.0,159.59,160.58,52.82,-0.64,-0.67,0.15,162.6
2022-02-02,160.14,162.84,159.47,162.6,7558750.0,160.48,160.54,58.29,-0.41,-0.62,0.49,164.14
2022-02-03,161.98,164.98,161.62,164.14,10474542.0,161.49,160.54,63.02,-0.09,-0.51,0.0,161.53
2022-02-04,163.13,164.49,161.41,161.53,8960135.0,161.69,160.47,53.65,-0.05,-0.42,0.82,160.32
2022-02-07,161.87,162.26,159.67,160.32,6430488.0,161.67,160.35,58.28,-0.12,-0.36,0.57,159.96
2022-02-08,161.12,161.27,159.65,159.96,5048797.0,161.71,160.32,43.92,-0.2,-0.33,0.81,159.6
2022-02-09,160.36,160.64,159.27,159.6,8077550.0,161.11,160.37,43.0,-0.28,-0.32,0.48,157.17
