Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,156.92,157.24,154.93,155.75,1103442.0,155.75,155.75,50.0,0.0,0.0,0.0,159.0
2022-01-04,157.55,160.36,157.21,159.0,1684639.0,157.38,157.38,100.0,0.26,0.05,0.0,159.77
2022-01-05,160.5,161.61,159.73,159.77,1838469.0,158.17,158.17,100.0,0.52,0.15,0.0,162.33
2022-01-06,163.23,163.28,161.72,162.33,1390210.0,159.21,159.21,100.0,0.92,0.3,0.0,166.24
2022-01-07,162.26,166.68,161.49,166.24,1699659.0,160.62,160.62,100.0,1.54,0.55,0.0,164.06
2022-01-10,167.62,168.31,162.93,164.06,1142228.0,162.28,161.19,82.79,1.83,0.8,0.0,163.16
2022-01-11,164.71,164.84,160.44,163.16,950531.0,163.11,161.47,77.3,1.97,1.04,0.0,162.97
2022-01-12,163.33,164.18,162.02,162.97,1060573.0,163.75,161.66,76.24,2.04,1.24,0.0,163.05
2022-01-13,163.41,164.71,162.55,163.05,864962.0,163.9,161.81,76.37,2.08,1.41,0.0,163.21
2022-01-14,162.51,163.51,161.19,163.21,1263219.0,163.29,161.95,76.64,2.09,1.54,0.0,163.57
2022-01-18,163.52,164.4,161.48,163.57,1646046.0,163.19,162.1,77.23,2.11,1.66,0.0,160.07
2022-01-19,164.73,164.73,160.07,160.07,1449544.0,162.57,161.93,62.09,1.83,1.69,0.0,165.18
2022-01-20,162.44,169.49,162.0,165.18,2831866.0,163.02,162.18,70.53,1.99,1.75,0.0,162.61
2022-01-21,165.33,167.08,162.26,162.61,2190024.0,162.93,162.21,63.43,1.88,1.78,0.0,168.83
2022-01-24,162.0,169.25,160.9,168.83,3233798.0,164.05,162.65,70.59,2.28,1.88,0.0,168.6
2022-01-25,168.59,169.57,163.78,168.6,2210394.0,165.06,163.02,66.7,2.55,2.01,0.0,167.86
2022-01-26,168.34,169.49,166.32,167.86,2194110.0,166.62,163.31,64.09,2.67,2.14,0.0,165.66
2022-01-27,168.81,171.46,164.6,165.66,2161876.0,166.71,163.44,55.87,2.55,2.22,0.0,166.82
2022-01-28,166.09,166.84,163.42,166.82,1233479.0,167.55,163.62,51.13,2.53,2.29,0.0,166.18
2022-01-31,164.88,166.34,163.73,166.18,1404118.0,167.02,163.75,54.41,2.43,2.31,0.0,167.99
2022-02-01,166.48,168.32,165.35,167.99,1290270.0,166.9,164.36,59.67,2.47,2.35,0.0,172.72
2022-02-02,168.06,173.11,167.73,172.72,1827619.0,167.87,165.04,66.52,2.85,2.45,0.0,172.07
2022-02-03,173.2,173.82,171.79,172.07,1280314.0,169.16,165.66,64.99,3.06,2.57,0.0,171.9
2022-02-04,172.36,173.47,171.18,171.9,1615880.0,170.17,166.14,64.44,3.18,2.69,0.0,171.33
2022-02-07,171.69,172.56,169.23,171.33,1635025.0,171.2,166.39,62.81,3.19,2.79,0.0,172.5
2022-02-08,172.68,173.44,171.09,172.5,2331541.0,172.1,166.81,72.22,3.26,2.88,0.0,172.73
2022-02-09,173.05,174.26,172.24,172.73,1512475.0,172.11,167.29,66.35,3.29,2.97,0.0,172.43
2022-02-10,172.73,174.55,171.94,172.43,1587074.0,172.18,167.77,73.58,3.25,3.02,0.0,171.76
2022-02-11,171.69,173.95,170.89,171.76,1460284.0,172.15,168.2,59.59,3.14,3.05,0.0,170.77
2022-02-14,172.71,173.39,168.8,170.77,1673375.0,172.04,168.58,56.77,2.93,3.02,0.0,171.6
2022-02-15,171.23,172.57,170.77,171.6,1174794.0,171.86,168.98,61.6,2.8,2.98,0.0,172.27
2022-02-16,170.9,173.18,170.83,172.27,1224584.0,171.77,169.59,72.65,2.72,2.93,0.0,170.59
2022-02-17,171.31,171.66,168.95,170.59,1126443.0,171.4,169.86,62.48,2.49,2.84,0.0,170.63
2022-02-18,169.46,172.0,169.45,170.63,1166355.0,171.17,170.26,65.33,2.29,2.73,0.0,171.08
2022-02-22,170.62,172.05,169.52,171.08,1474965.0,171.23,170.37,61.75,2.14,2.61,0.0,170.14
2022-02-23,171.61,172.97,170.02,170.14,1374103.0,170.94,170.45,36.22,1.92,2.47,0.18,166.5
2022-02-24,166.25,166.79,162.8,166.5,2460895.0,169.79,170.38,27.45,1.44,2.27,0.0,173.44
